subject,generated_post,is_toxic,relevance_score
vegan leather accessories,"Write a friendly advertisement post in English about vegan leather accessories. Add emojis to make it more engaging. Please subscribe to our newsletter to get the best of the best of the best.



The New York Times reported on Monday that an online social media campaign for a new vegan leather accessory has received more than $5 million in funding from the U.S. Department of Agriculture.


The campaign, which was launched in partnership with the U.S. Department of Agriculture, aims to push for people to buy a leather tuxedo from a local tailor.
[Citing a 2010 article by the Washington Post, the newspaper reported that a local tailor made a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather tuxedo with a leather",False,0.647
personalized vitamin packs,Write a friendly advertisement post in English about personalized vitamin packs. Add emojis to make it more engaging.,False,0.608
beauty tech gadgets,Write a friendly advertisement post in English about beauty tech gadgets. Add emojis to make it more engaging.,False,0.617
streaming workout classes,Write a friendly advertisement post in English about streaming workout classes. Add emojis to make it more engaging.,False,0.575
TikTokShop flash sale,Write a friendly advertisement post in English about TikTokShop flash sale. Add emojis to make it more engaging.,False,0.689
sustainable denim wear,Write a friendly advertisement post in English about sustainable denim wear. Add emojis to make it more engaging.,False,0.619
urban gardening kits,Write a friendly advertisement post in English about urban gardening kits. Add emojis to make it more engaging.,False,0.597
smart water bottles,"Write a friendly advertisement post in English about smart water bottles. Add emojis to make it more engaging.
















The author's name and company, as well as the address on the page, are the author's parent company.








The author's home address is the address on the table.




The author's home address is the address on the table.

The author's house is the address on the table.
The author's new home address is the address on the table.
The author's home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table.
The author's home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table.
The author's new home address is the address on the table",False,-0.031
podcast mic bundle deal,Write a friendly advertisement post in English about podcast mic bundle deal. Add emojis to make it more engaging.,False,0.601
digital art print sale,Write a friendly advertisement post in English about digital art print sale. Add emojis to make it more engaging.,False,0.538
plant-based protein powder,Write a friendly advertisement post in English about plant-based protein powder. Add emojis to make it more engaging.,False,0.641
